RID,ItemName,Price,Category,Description
1,Margherita Pizza,12.99,Entree,"Classic pizza topped with tomato sauce, fresh mozzarella, and basil."
1,Pepperoni Pizza,14.49,Entree,"A crowd favorite with zesty pepperoni and mozzarella cheese."
1,Garlic Knots,6.99,Appetizer,"Fresh-baked knots brushed with garlic butter and herbs."
2,Burger Deluxe,13.99,Entree,"Juicy beef patty with lettuce, tomato, and house sauce."
2,Loaded Fries,8.99,Appetizer,"Crispy fries topped with cheese, bacon, and ranch drizzle."
2,Apple Pie,5.49,Dessert,"Warm apple filling wrapped in flaky crust and served with vanilla ice cream."
3,Sushi Platter,19.99,Entree,"Assorted nigiri and rolls served with wasabi and soy sauce."
3,Miso Soup,3.99,Appetizer,"Traditional Japanese soup with tofu, seaweed, and scallions."
3,Green Tea Mochi,4.49,Dessert,"Sweet rice cakes filled with matcha ice cream."
4,Grilled Veggie Wrap,10.99,Entree,"Grilled zucchini, peppers, and hummus wrapped in soft flatbread."
4,Avocado Toast,8.49,Appetizer,"Sourdough toast topped with smashed avocado and cherry tomatoes."
4,Lemon Tart,5.99,Dessert,"Tangy lemon custard in a buttery crust, topped with whipped cream."
5,Spaghetti Carbonara,15.99,Entree,"Pasta tossed with pancetta, egg, and Parmesan cheese."
5,Bruschetta,7.99,Appetizer,"Toasted bread topped with tomato, basil, and olive oil."
5,Tiramisu,6.99,Dessert,"Classic Italian dessert with espresso-soaked ladyfingers and mascarpone cream."